GID,GO,EVIDENCE,Aspect
LotjaGi1g1v0013000.3,GO:0009116,ISS,P
LotjaGi1g1v0013100.1,GO:0007018,ISS,P
LotjaGi1g1v0013100.2,GO:0007018,ISS,P
LotjaGi1g1v0013300.1,GO:0006282,ISS,P
LotjaGi1g1v0013300.2,GO:0006282,ISS,P
LotjaGi1g1v0013500.1,GO:0006468,ISS,P
LotjaGi1g1v0013600.1,GO:0016192,ISS,P
LotjaGi1g1v0013800.1,GO:0006457,ISS,P
LotjaGi1g1v0013800.2,GO:0006457,ISS,P
LotjaGi1g1v0013800.3,GO:0006457,ISS,P
LotjaGi1g1v0013800.4,GO:0006457,ISS,P
LotjaGi1g1v0013800.5,GO:0006457,ISS,P
LotjaGi1g1v0015100.1,GO:0006364,ISS,P
LotjaGi1g1v0015100.1,GO:0006355,ISS,P
LotjaGi1g1v0015100.3,GO:0006364,ISS,P
LotjaGi1g1v0015100.3,GO:0006355,ISS,P
LotjaGi1g1v0015300.1,GO:0030244,ISS,P
LotjaGi1g1v0015700_LC.1,GO:0006468,ISS,P
LotjaGi1g1v0015800.1,GO:0009058,ISS,P
LotjaGi1g1v0015800.1,GO:0009435,ISS,P
LotjaGi1g1v0015800.2,GO:0009058,ISS,P
LotjaGi1g1v0015800.2,GO:0009435,ISS,P
LotjaGi1g1v0016000.1,GO:0006355,ISS,P
LotjaGi1g1v0016300.1,GO:0030026,ISS,P
LotjaGi1g1v0017000.1,GO:0071805,ISS,P
LotjaGi1g1v0017000.1,GO:0030007,ISS,P
LotjaGi1g1v0017000.2,GO:0071805,ISS,P
LotjaGi1g1v0017000.2,GO:0030007,ISS,P
LotjaGi1g1v0017200.1,GO:0042545,ISS,P
LotjaGi1g1v0017300.1,GO:0042545,ISS,P
LotjaGi1g1v0017400.1,GO:0006535,ISS,P
LotjaGi1g1v0017900.1,GO:0055114,ISS,P
LotjaGi1g1v0018000.1,GO:0055114,ISS,P
LotjaGi1g1v0018100_LC.1,GO:0055114,ISS,P
LotjaGi1g1v0018400.1,GO:0006364,ISS,P
LotjaGi1g1v0018400.2,GO:0006364,ISS,P
LotjaGi1g1v0018500.1,GO:0055085,ISS,P
LotjaGi1g1v0018500.2,GO:0055085,ISS,P
LotjaGi1g1v0018500.3,GO:0055085,ISS,P
LotjaGi1g1v0018700.1,GO:0055085,ISS,P
LotjaGi1g1v0018700.2,GO:0055085,ISS,P
LotjaGi1g1v0019400.1,GO:0006355,ISS,P
LotjaGi1g1v0019400.2,GO:0006355,ISS,P
LotjaGi1g1v0019400.3,GO:0006355,ISS,P
LotjaGi1g1v0020300.1,GO:0006355,ISS,P
LotjaGi1g1v0020900.1,GO:0006468,ISS,P
LotjaGi1g1v0020900.2,GO:0006468,ISS,P
LotjaGi1g1v0021000.1,GO:0006468,ISS,P
LotjaGi1g1v0021000.2,GO:0006468,ISS,P
LotjaGi1g1v0021000.4,GO:0006468,ISS,P
LotjaGi1g1v0021100.1,GO:0006468,ISS,P
LotjaGi1g1v0021400.1,GO:0007018,ISS,P
LotjaGi1g1v0021400.2,GO:0007018,ISS,P
LotjaGi1g1v0021600.1,GO:0007021,ISS,P
LotjaGi1g1v0021600.1,GO:0007023,ISS,P
LotjaGi1g1v0021800.1,GO:0006629,ISS,P
LotjaGi1g1v0022800.1,GO:0007017,ISS,P
LotjaGi1g1v0022800.2,GO:0007017,ISS,P
LotjaGi1g1v0022800.3,GO:0007017,ISS,P
LotjaGi1g1v0023700.1,GO:0006355,ISS,P
LotjaGi1g1v0023800.1,GO:0000226,ISS,P
LotjaGi1g1v0023800.3,GO:0000226,ISS,P
LotjaGi1g1v0024000.1,GO:0015031,ISS,P
LotjaGi1g1v0024000.1,GO:0006457,ISS,P
LotjaGi1g1v0024700.1,GO:0006457,ISS,P
LotjaGi1g1v0024700.2,GO:0006457,ISS,P
LotjaGi1g1v0025000.1,GO:0006355,ISS,P
LotjaGi1g1v0025100.1,GO:0005975,ISS,P
LotjaGi1g1v0025500.1,GO:0005975,ISS,P
LotjaGi1g1v0025600.1,GO:0002143,ISS,P
LotjaGi1g1v0025700.1,GO:0006207,ISS,P
LotjaGi1g1v0025700.1,GO:0006520,ISS,P
LotjaGi1g1v0025700.2,GO:0006207,ISS,P
LotjaGi1g1v0025700.2,GO:0006520,ISS,P
LotjaGi1g1v0025800.1,GO:0006355,ISS,P
LotjaGi1g1v0025800.2,GO:0006355,ISS,P
LotjaGi1g1v0025900.1,GO:0006396,ISS,P
LotjaGi1g1v0025900.2,GO:0006396,ISS,P
LotjaGi1g1v0025900.3,GO:0006396,ISS,P
LotjaGi1g1v0025900.6,GO:0006396,ISS,P
LotjaGi1g1v0025900.8,GO:0006396,ISS,P
LotjaGi1g1v0026000.1,GO:0015031,ISS,P
LotjaGi1g1v0026000.1,GO:0042147,ISS,P
LotjaGi1g1v0026200.1,GO:0006402,ISS,P
LotjaGi1g1v0026300.1,GO:0006402,ISS,P
LotjaGi1g1v0026300.2,GO:0006402,ISS,P
LotjaGi1g1v0026400.1,GO:0006396,ISS,P
LotjaGi1g1v0026600.1,GO:0042254,ISS,P
LotjaGi1g1v0026900.1,GO:0006099,ISS,P
LotjaGi1g1v0027200.1,GO:0006298,ISS,P
LotjaGi1g1v0027200.2,GO:0006298,ISS,P
LotjaGi1g1v0027200.3,GO:0006298,ISS,P
LotjaGi1g1v0027700_LC.1,GO:0007165,ISS,P
LotjaGi1g1v0027700_LC.2,GO:0007165,ISS,P
LotjaGi1g1v0027700_LC.3,GO:0007165,ISS,P
LotjaGi1g1v0028700.1,GO:0016192,ISS,P
LotjaGi1g1v0028700.1,GO:0048193,ISS,P
LotjaGi1g1v0028700.2,GO:0016192,ISS,P
LotjaGi1g1v0028700.2,GO:0048193,ISS,P
LotjaGi1g1v0028700.3,GO:0016192,ISS,P
LotjaGi1g1v0028700.3,GO:0048193,ISS,P
LotjaGi1g1v0028800.1,GO:0006413,ISS,P
LotjaGi1g1v0028900.1,GO:0006468,ISS,P
LotjaGi1g1v0028900.2,GO:0006468,ISS,P
LotjaGi1g1v0028900.3,GO:0006468,ISS,P
LotjaGi1g1v0028900.4,GO:0006468,ISS,P
LotjaGi1g1v0029700.1,GO:0055114,ISS,P
LotjaGi1g1v0029700.1,GO:0006979,ISS,P
LotjaGi1g1v0029700.1,GO:0030091,ISS,P
LotjaGi1g1v0029700.2,GO:0055114,ISS,P
LotjaGi1g1v0029700.2,GO:0006979,ISS,P
LotjaGi1g1v0029700.2,GO:0030091,ISS,P
LotjaGi1g1v0030100_LC.1,GO:0055114,ISS,P
LotjaGi1g1v0030100_LC.1,GO:0006979,ISS,P
LotjaGi1g1v0030100_LC.1,GO:0030091,ISS,P
LotjaGi1g1v0031500.1,GO:0007165,ISS,P
LotjaGi1g1v0031600.1,GO:0007165,ISS,P
LotjaGi1g1v0032000.1,GO:0007165,ISS,P
LotjaGi1g1v0032100.1,GO:0007165,ISS,P
LotjaGi1g1v0032300.1,GO:0007165,ISS,P
LotjaGi1g1v0032400.1,GO:0007165,ISS,P
LotjaGi1g1v0032500.1,GO:0007165,ISS,P
LotjaGi1g1v0032900.1,GO:0007165,ISS,P
LotjaGi1g1v0033000.1,GO:0007165,ISS,P
LotjaGi1g1v0033200.1,GO:0007165,ISS,P
LotjaGi1g1v0033300.1,GO:0007165,ISS,P
LotjaGi1g1v0033300.2,GO:0007165,ISS,P
LotjaGi1g1v0033400.1,GO:0007165,ISS,P
LotjaGi1g1v0033600.1,GO:0007165,ISS,P
LotjaGi1g1v0033600.2,GO:0007165,ISS,P
LotjaGi1g1v0033700.1,GO:0007165,ISS,P
LotjaGi1g1v0033800.1,GO:0055114,ISS,P
LotjaGi1g1v0033800.3,GO:0055114,ISS,P
LotjaGi1g1v0033800.5,GO:0055114,ISS,P
LotjaGi1g1v0034100.1,GO:0006468,ISS,P
LotjaGi1g1v0034100.2,GO:0006468,ISS,P
LotjaGi1g1v0035300_LC.1,GO:0006260,ISS,P
LotjaGi1g1v0035300_LC.1,GO:0006261,ISS,P
LotjaGi1g1v0038000.1,GO:0006468,ISS,P
LotjaGi1g1v0038100.1,GO:0006099,ISS,P
LotjaGi1g1v0038200.1,GO:0007165,ISS,P
LotjaGi1g1v0038300.1,GO:0055114,ISS,P
LotjaGi1g1v0038600_LC.1,GO:0007165,ISS,P
LotjaGi1g1v0038800_LC.1,GO:0007165,ISS,P
LotjaGi1g1v0039200_LC.1,GO:0007165,ISS,P
LotjaGi1g1v0039300_LC.1,GO:0007165,ISS,P
LotjaGi1g1v0039700_LC.1,GO:0007165,ISS,P
LotjaGi1g1v0039800.1,GO:0006468,ISS,P
LotjaGi1g1v0040000.1,GO:0006281,ISS,P
LotjaGi1g1v0040200.1,GO:0006355,ISS,P
LotjaGi1g1v0040200.1,GO:0045944,ISS,P
LotjaGi1g1v0040500.1,GO:0005975,ISS,P
LotjaGi1g1v0040500.1,GO:0006073,ISS,P
LotjaGi1g1v0040500.1,GO:0010411,ISS,P
LotjaGi1g1v0040500.1,GO:0042546,ISS,P
LotjaGi1g1v0041300.1,GO:0006468,ISS,P
LotjaGi1g1v0041400.1,GO:0006396,ISS,P
LotjaGi1g1v0041400.2,GO:0006396,ISS,P
LotjaGi1g1v0042300.1,GO:0007017,ISS,P
LotjaGi1g1v0042300.1,GO:0007020,ISS,P
LotjaGi1g1v0042300.1,GO:0031122,ISS,P
LotjaGi1g1v0042400.1,GO:0071805,ISS,P
LotjaGi1g1v0042400.1,GO:0000272,ISS,P
LotjaGi1g1v0042400.2,GO:0071805,ISS,P
LotjaGi1g1v0042600.1,GO:0006355,ISS,P
LotjaGi1g1v0042700.1,GO:0006468,ISS,P
LotjaGi1g1v0042700.3,GO:0006468,ISS,P
LotjaGi1g1v0042800.1,GO:0005985,ISS,P
LotjaGi1g1v0042800.2,GO:0005985,ISS,P
LotjaGi1g1v0042800.3,GO:0005985,ISS,P
LotjaGi1g1v0042800.4,GO:0005985,ISS,P
LotjaGi1g1v0043000.1,GO:0006891,ISS,P
LotjaGi1g1v0043000.2,GO:0006891,ISS,P
LotjaGi1g1v0043800.1,GO:0006412,ISS,P
LotjaGi1g1v0043800.2,GO:0006412,ISS,P
LotjaGi1g1v0043800.3,GO:0006412,ISS,P
LotjaGi1g1v0043800.4,GO:0006412,ISS,P
LotjaGi1g1v0043800.6,GO:0006508,ISS,P
LotjaGi1g1v0043800.7,GO:0006508,ISS,P
LotjaGi1g1v0044100.1,GO:0009072,ISS,P
LotjaGi1g1v0044100.1,GO:0055114,ISS,P
LotjaGi1g1v0044500.1,GO:0006355,ISS,P
LotjaGi1g1v0044800.1,GO:0007165,ISS,P
LotjaGi1g1v0045000_LC.1,GO:0007165,ISS,P
LotjaGi1g1v0045000_LC.2,GO:0007165,ISS,P
LotjaGi1g1v0045000_LC.5,GO:0007165,ISS,P
LotjaGi1g1v0045100.1,GO:0007165,ISS,P
LotjaGi1g1v0045100.2,GO:0007165,ISS,P
LotjaGi1g1v0046600.1,GO:0015979,ISS,P
LotjaGi1g1v0046600.2,GO:0015979,ISS,P
LotjaGi1g1v0046900.1,GO:0055114,ISS,P
LotjaGi1g1v0046900.2,GO:0055114,ISS,P
LotjaGi1g1v0047000.1,GO:0055085,ISS,P
LotjaGi1g1v0047100.1,GO:0055085,ISS,P
LotjaGi1g1v0047200.1,GO:0055085,ISS,P
LotjaGi1g1v0047200.2,GO:0055085,ISS,P
LotjaGi1g1v0047400.1,GO:0006355,ISS,P
LotjaGi1g1v0047400.1,GO:0009725,ISS,P
LotjaGi1g1v0047400.2,GO:0006355,ISS,P
LotjaGi1g1v0047400.2,GO:0009725,ISS,P
LotjaGi1g1v0048000.1,GO:0006468,ISS,P
LotjaGi1g1v0048300_LC.1,GO:0006511,ISS,P
LotjaGi1g1v0048400.1,GO:0015693,ISS,P
LotjaGi1g1v0048400.2,GO:0015693,ISS,P
LotjaGi1g1v0048400.3,GO:0015693,ISS,P
LotjaGi1g1v0048500_LC.1,GO:0015074,ISS,P
LotjaGi1g1v0048600.1,GO:0000266,ISS,P
LotjaGi1g1v0048600.2,GO:0000266,ISS,P
LotjaGi1g1v0048800.1,GO:0005975,ISS,P
LotjaGi1g1v0049000.1,GO:0006508,ISS,P
LotjaGi1g1v0049700.1,GO:0055085,ISS,P
LotjaGi1g1v0049800.1,GO:0006952,ISS,P
LotjaGi1g1v0050500.1,GO:0016192,ISS,P
LotjaGi1g1v0050600.1,GO:0007165,ISS,P
LotjaGi1g1v0050600.2,GO:0007165,ISS,P
LotjaGi1g1v0050600.3,GO:0007165,ISS,P
LotjaGi1g1v0050800.1,GO:0055085,ISS,P
LotjaGi1g1v0050800.2,GO:0055085,ISS,P
LotjaGi1g1v0050900.1,GO:0016192,ISS,P
LotjaGi1g1v0050900.2,GO:0016192,ISS,P
LotjaGi1g1v0051300.1,GO:0006468,ISS,P
LotjaGi1g1v0051300.2,GO:0006468,ISS,P
LotjaGi1g1v0052000.1,GO:0006364,ISS,P
LotjaGi1g1v0052100.1,GO:0006355,ISS,P
LotjaGi1g1v0052500.1,GO:0043248,ISS,P
LotjaGi1g1v0052900.1,GO:0009269,ISS,P
LotjaGi1g1v0053400.1,GO:0003333,ISS,P
LotjaGi1g1v0053400.2,GO:0003333,ISS,P
LotjaGi1g1v0054200.1,GO:0006807,ISS,P
LotjaGi1g1v0054200.2,GO:0006807,ISS,P
LotjaGi1g1v0054500.1,GO:0006468,ISS,P
LotjaGi1g1v0054500.2,GO:0006468,ISS,P
LotjaGi1g1v0054500.3,GO:0006468,ISS,P
LotjaGi1g1v0054500.4,GO:0006468,ISS,P
LotjaGi1g1v0054700.1,GO:0006468,ISS,P
LotjaGi1g1v0054700.1,GO:0007165,ISS,P
LotjaGi1g1v0054700.3,GO:0006468,ISS,P
LotjaGi1g1v0054700.3,GO:0007165,ISS,P
LotjaGi1g1v0055200.1,GO:0009744,ISS,P
